UDI,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Temperature Difference,Mechanical Power,Torque Speed Ratio,Tool Wear Risk,Temperature Stress,Temperature_Torque_Interaction,Speed_Torque_Interaction,Wear_Power_Interaction
36,M,298.8,309.2,1452,48.6,98,0,10.399999999999977,7389.779903480055,0.033471074357113585,0.392,92388.96,505.4399999999989,70567.2,724198.4305410454
37,M,298.9,309.2,1581,36.7,101,0,10.300000000000011,6076.122935381483,0.02321315621555145,0.404,92419.87999999999,378.01000000000045,58022.700000000004,613688.4164735298
38,L,298.8,309.1,1439,39.2,104,0,10.300000000000011,5907.115722593864,0.02724113966140296,0.416,92359.08000000002,403.7600000000005,56408.8,614340.0351497618
39,H,298.9,309.2,1379,50.7,106,0,10.300000000000011,7321.513095117549,0.03676577227210604,0.424,92419.87999999999,522.2100000000006,69915.3,776080.3880824602
40,L,298.8,309.1,1350,52.5,111,0,10.300000000000011,7422.012644105886,0.0388888888600823,0.444,92359.08000000002,540.7500000000006,70875.0,823843.4034957533
41,L,298.8,309.1,1362,45.4,113,0,10.300000000000011,6475.3251138731375,0.033333333308859514,0.452,92359.08000000002,467.6200000000005,61834.799999999996,731711.7378676645
42,L,298.8,309.1,1368,50.8,115,0,10.300000000000011,7277.436550187683,0.0371345028968315,0.46,92359.08000000002,523.2400000000006,69494.4,836905.2032715835
43,M,298.8,309.1,1368,49.1,117,0,10.300000000000011,7033.900287681403,0.03589181283926037,0.468,92359.08000000002,505.7300000000006,67168.8,822966.3336587241
44,H,298.8,309.2,1372,48.5,120,0,10.399999999999977,6968.2619451724,0.035349854201640045,0.48,92388.96,504.3999999999989,66542.0,836191.433420688
45,M,298.8,309.1,1472,47.5,125,0,10.300000000000011,7322.005277966611,0.032269021717208544,0.5,92359.08000000002,489.25000000000057,69920.0,915250.6597458264
46,L,298.8,309.1,1489,49.1,128,0,10.300000000000011,7656.050824822814,0.03297515108598042,0.512,92359.08000000002,505.7300000000006,73109.90000000001,979974.5055773202
47,M,298.7,309.0,1843,25.8,130,0,10.300000000000011,4979.36152408675,0.013998914805209487,0.52,92298.3,265.7400000000003,47549.4,647316.9981312775
48,L,298.8,309.1,1418,46.3,133,0,10.300000000000011,6875.20797077307,0.03265162197979434,0.532,92359.08000000002,476.8900000000005,65653.4,914402.6601128184
49,H,298.8,309.2,1425,53.9,135,0,10.399999999999977,8043.262591353267,0.037824561376965216,0.54,92388.96,560.5599999999988,76807.5,1085840.449832691
50,M,298.9,309.2,1412,44.1,140,0,10.300000000000011,6520.815375497118,0.03123229459544455,0.56,92419.87999999999,454.23000000000053,62269.200000000004,912914.1525695965
51,L,298.9,309.1,2861,4.6,143,1,10.200000000000045,1378.1748092277942,0.001607829429707155,0.572,92389.99,46.92000000000021,13160.599999999999,197078.99771957457
52,L,298.9,309.1,1383,54.9,145,0,10.200000000000045,7951.02543104387,0.039696312335722114,0.58,92389.99,559.9800000000025,75926.7,1152898.6875013611
53,H,298.8,309.0,1497,43.8,147,0,10.199999999999989,6866.327735538923,0.029258517014523363,0.588,92329.2,446.7599999999995,65568.59999999999,1009350.1771242217
54,L,298.7,309.0,1565,35.1,152,0,10.300000000000011,5752.41322835559,0.022428115001643375,0.608,92298.3,361.5300000000004,54931.5,874366.8107100497
55,L,298.7,309.0,1691,30.1,154,0,10.300000000000011,5330.141287811075,0.017800118262684732,0.616,92298.3,310.03000000000037,50899.100000000006,820841.7583229055
56,L,298.8,309.1,1512,40.7,156,0,10.300000000000011,6444.286178455671,0.026917989400186516,0.624,92359.08000000002,419.2100000000005,61538.4,1005308.6438390847
57,L,298.8,309.1,1477,42.4,158,0,10.300000000000011,6558.053720417668,0.02870683816607526,0.632,92359.08000000002,436.7200000000005,62624.799999999996,1036172.4878259916
58,L,298.8,309.1,1513,40.3,160,0,10.300000000000011,6385.171876690622,0.026635822850868587,0.64,92359.08000000002,415.09000000000043,60973.899999999994,1021627.5002704996
59,M,298.8,309.0,1661,29.5,162,0,10.199999999999989,5131.215640985769,0.017760385299361598,0.648,92329.2,300.89999999999964,48999.5,831256.9338396946
60,L,298.8,309.1,1378,54.4,165,0,10.300000000000011,7850.127946986078,0.03947750359979862,0.66,92359.08000000002,560.3200000000006,74963.2,1295271.111252703
61,L,298.8,309.1,1393,52.6,167,0,10.300000000000011,7673.004953176687,0.03776022969292159,0.668,92359.08000000002,541.7800000000007,73271.8,1281391.8271805067
62,M,298.8,309.0,1592,38.2,169,0,10.199999999999989,6368.469075749037,0.02399497485929964,0.676,92329.2,389.6399999999996,60814.4,1076271.2738015873
63,L,298.8,309.0,1829,22.9,172,0,10.199999999999989,4386.092695407341,0.012520503000262162,0.688,92329.2,233.57999999999973,41884.1,754407.9436100627
64,M,298.9,309.0,1812,25.9,174,0,10.100000000000023,4914.581883569728,0.014293598226107283,0.696,92360.09999999999,261.5900000000006,46930.799999999996,855137.2477411327
65,L,299.0,309.1,1523,38.6,177,0,10.100000000000023,6156.244020023535,0.025344714362872806,0.708,92420.90000000001,389.86000000000087,58787.8,1089655.1915441656
66,L,299.0,309.1,1394,45.1,179,0,10.100000000000023,6583.668172519938,0.03235294115326188,0.716,92420.90000000001,455.510000000001,62869.4,1178476.6028810688
67,M,298.9,308.9,1679,28.7,181,0,10.0,5046.162255877581,0.01709350803031953,0.724,92330.20999999999,287.0,48187.299999999996,913355.3683138421
68,H,298.8,308.9,1466,44.1,184,0,10.099999999999966,6770.195000339076,0.030081855368293414,0.736,92299.31999999999,445.4099999999985,64650.6,1245715.88006239
69,L,298.8,308.9,1527,32.4,189,0,10.099999999999966,5180.988940594142,0.021218074642293333,0.756,92299.31999999999,327.2399999999989,49474.799999999996,979206.9097722928
70,L,298.9,309.0,1410,65.7,191,1,10.100000000000023,9700.923955019922,0.04659574464780444,0.764,92360.09999999999,663.5700000000015,92637.0,1852876.475408805
71,M,298.9,309.0,1924,22.6,193,0,10.100000000000023,4553.466280015094,0.011746361740256568,0.772,92360.09999999999,228.26000000000053,43482.4,878818.9920429131
72,L,298.9,309.1,1452,45.5,196,0,10.200000000000045,6918.415341735442,0.03133608813268864,0.784,92389.99,464.10000000000207,66066.0,1356009.4069801467
73,L,298.9,309.1,1369,44.4,198,0,10.200000000000045,6365.243707291351,0.03243243240874183,0.792,92389.99,452.880000000002,60783.6,1260318.2540436874
74,L,299.0,309.1,1592,35.0,200,0,10.100000000000023,5834.984755267442,0.02198492460930595,0.8,92420.90000000001,353.5000000000008,55720.0,1166996.9510534883
75,L,298.9,309.0,1601,32.3,202,0,10.100000000000023,5415.299392674381,0.020174890680715242,0.808,92360.09999999999,326.2300000000007,51712.299999999996,1093890.477320225
76,L,298.8,308.9,1379,46.7,204,0,10.099999999999966,6743.878925877505,0.033865119627363945,0.816,92299.31999999999,471.6699999999984,64399.3,1375751.300879011
77,L,298.8,308.9,1461,47.9,206,0,10.099999999999966,7328.487430808517,0.03278576315346628,0.824,92299.31999999999,483.7899999999984,69981.9,1509668.4107465546
78,L,298.8,308.9,1455,41.3,208,1,10.099999999999966,6292.767164773034,0.028384879705577397,0.832,92299.31999999999,417.1299999999986,60091.49999999999,1308895.570272791
79,L,298.8,308.9,1398,51.5,0,0,10.099999999999966,7539.508209350144,0.03683834046005841,0.0,92299.31999999999,520.1499999999983,71997.0,0.0
80,L,298.8,308.9,1402,37.9,2,0,10.099999999999966,5564.367964087217,0.02703281025175976,0.008,92299.31999999999,382.7899999999987,53135.799999999996,11128.735928174434
81,H,298.8,308.8,1445,49.9,4,0,10.0,7550.870302780627,0.034532871948420155,0.016,92269.44,499.0,72105.5,30203.481211122507
82,L,298.9,308.9,1450,47.5,9,0,10.0,7212.573133866566,0.03275862066706302,0.036,92330.20999999999,475.0,68875.0,64913.158204799096
83,L,298.9,308.9,1453,40.8,11,0,10.0,6208.038410905718,0.028079834805175608,0.044,92330.20999999999,408.0,59282.399999999994,68288.4225199629
84,L,299.0,309.0,1469,40.1,13,0,10.0,6168.716142858286,0.027297481261199807,0.052,92391.0,401.0,58906.9,80193.30985715771
85,L,298.9,308.9,1422,47.6,15,0,10.0,7088.187008735435,0.033473980285883276,0.06,92330.20999999999,476.0,67687.2,106322.80513103152
86,M,299.0,309.0,1804,26.8,17,0,10.0,5062.906944721215,0.014855875823250623,0.068,92391.0,268.0,48347.200000000004,86069.41806026065
87,H,299.0,309.0,1436,43.9,20,0,10.0,6601.5752506454,0.0305710306193795,0.08,92391.0,439.0,63040.4,132031.505012908
88,L,299.0,309.0,1544,31.8,25,0,10.0,5141.656200571199,0.020595854908940506,0.1,92391.0,318.0,49099.200000000004,128541.40501427998
89,M,299.0,309.0,1419,45.2,27,0,10.0,6716.599429668834,0.031853417877481735,0.108,92391.0,452.0,64138.8,181348.1846010585
90,M,298.9,308.9,1487,39.5,30,0,10.0,6150.871896585896,0.026563550755505344,0.12,92330.20999999999,395.0,58736.5,184526.15689757688
91,L,298.9,308.9,1753,25.8,33,0,10.0,4736.2022526989,0.014717626916875283,0.132,92330.20999999999,258.0,45227.4,156294.6743390637
92,L,298.9,308.9,1830,24.9,35,0,10.0,4771.765081537536,0.013606557369613902,0.14,92330.20999999999,249.0,45567.0,167011.77785381378
93,M,298.9,308.9,1727,27.1,37,0,10.0,4901.062563183781,0.01569195135165492,0.148,92330.20999999999,271.0,46801.700000000004,181339.3148377999
94,L,299.1,309.0,1450,43.0,40,0,9.899999999999977,6529.276731710786,0.02965517239334126,0.16,92421.90000000001,425.699999999999,62350.0,261171.06926843146
95,L,299.0,308.9,1622,31.9,42,0,9.899999999999977,5418.388625450411,0.019667077669749025,0.168,92361.09999999999,315.80999999999926,51741.799999999996,227572.32226891728
96,M,299.0,309.0,1351,52.2,44,0,10.0,7385.067514499669,0.03863804586333231,0.176,92391.0,522.0,70522.2,324942.97063798545
97,M,299.0,309.0,1575,35.3,47,0,10.0,5822.156585265283,0.022412698398468125,0.188,92391.0,353.0,55597.49999999999,273641.3595074683
98,M,298.9,308.9,1750,29.9,50,0,10.0,5479.461186636197,0.017085714275951017,0.2,92330.20999999999,299.0,52325.0,273973.05933180987
99,L,298.9,308.8,1529,32.7,53,0,9.900000000000034,5235.809732399285,0.02138652712793556,0.212,92300.31999999999,323.73000000000116,49998.3,277497.91581716214
100,L,298.8,308.8,1523,44.4,55,0,10.0,7081.275504897537,0.029152987505480635,0.22,92269.44,444.0,67621.2,389470.15276936453
101,L,298.8,308.9,1852,25.0,57,0,10.099999999999966,4848.524662040247,0.013498920079104254,0.228,92299.31999999999,252.49999999999915,46300.0,276365.90573629405
102,L,298.8,308.8,1991,20.7,59,0,10.0,4315.888571575121,0.01039678552968519,0.236,92269.44,207.0,41213.7,254637.42572293215
103,L,298.8,308.8,1555,40.6,61,0,10.0,6611.27229996948,0.02610932474205188,0.244,92269.44,406.0,63133.0,403287.6102981383
104,M,298.8,308.8,1441,40.5,63,0,10.0,6111.4972686609035,0.028105482284451432,0.252,92269.44,405.0,58360.5,385024.3279256369
105,L,298.8,308.7,1450,43.4,66,0,9.899999999999977,6590.014189680189,0.029931034462116524,0.264,92239.56,429.659999999999,62930.0,434940.9365188925
106,L,298.8,308.7,1591,31.1,68,0,9.899999999999977,5181.543955296278,0.019547454418889092,0.272,92239.56,307.8899999999993,49480.100000000006,352344.9889601469
107,L,298.8,308.7,1445,48.5,70,0,9.899999999999977,7339.022238173556,0.03356401381760275,0.28,92239.56,480.1499999999989,70082.5,513731.5566721489
108,M,298.8,308.8,1497,46.8,72,0,10.0,7336.624155781315,0.031262525029216746,0.288,92269.44,468.0,70059.59999999999,528236.9392162546
109,H,298.9,308.8,1621,32.7,75,0,9.900000000000034,5550.84864370127,0.02017273286849307,0.3,92300.31999999999,323.73000000000116,53006.700000000004,416313.64827759523
110,L,298.9,308.7,1572,34.1,80,0,9.800000000000011,5613.523417140386,0.02169211194548848,0.32,92270.43,334.1800000000004,53605.200000000004,449081.8733712309
111,L,298.8,308.6,1872,22.5,82,0,9.800000000000011,4410.79608564007,0.012019230762810239,0.328,92209.68000000001,220.50000000000026,42120.0,361685.2790224857
112,H,298.7,308.6,1499,43.5,84,0,9.900000000000034,6828.408712210095,0.02901934621146141,0.336,92178.82,430.65000000000146,65206.5,573586.331825648
113,M,298.8,308.7,1498,39.5,89,0,9.899999999999977,6196.372630185388,0.026368491304159882,0.356,92239.56,391.0499999999991,59171.0,551477.1640864995
114,M,298.8,308.6,1486,41.9,92,0,9.800000000000011,6520.208000917424,0.028196500653972743,0.368,92209.68000000001,410.62000000000046,62263.4,599859.136084403
115,L,298.8,308.6,1680,29.4,95,0,9.800000000000011,5172.318144870235,0.01749999998958333,0.38,92209.68000000001,288.12000000000035,49392.0,491370.22376267234
116,L,298.8,308.6,1431,45.7,97,0,9.800000000000011,6848.326409633854,0.0319357092718828,0.388,92209.68000000001,447.8600000000005,65396.700000000004,664287.6617344839
117,L,298.9,308.7,1564,34.1,99,0,9.800000000000011,5584.955867943742,0.021803069039767857,0.396,92270.43,334.1800000000004,53332.4,552910.6309264305
118,L,298.8,308.6,1599,33.0,101,0,9.800000000000011,5525.747318399087,0.020637898673772418,0.404,92209.68000000001,323.4000000000004,52767.0,558100.4791583078
119,M,298.8,308.6,1707,28.1,103,0,9.800000000000011,5023.0610778981845,0.01646162857852277,0.412,92209.68000000001,275.38000000000034,47966.700000000004,517375.291023513
120,L,298.7,308.5,1467,40.7,106,0,9.800000000000011,6252.491946954014,0.0277436945959484,0.424,92148.95,398.86000000000047,59706.9,662764.1463771254
121,L,298.9,308.7,1433,44.7,108,0,9.800000000000011,6707.834386165319,0.031193300745852547,0.432,92270.43,438.0600000000005,64055.100000000006,724446.1137058545
122,L,298.9,308.7,1558,41.2,110,0,9.800000000000011,6721.919193228913,0.026444159161460746,0.44,92270.43,403.7600000000005,64189.600000000006,739411.1112551804
123,L,299.0,308.8,1310,50.7,112,0,9.800000000000011,6955.171975782443,0.03870229004679215,0.448,92331.2,496.8600000000006,66417.0,778979.2612876336
124,L,298.9,308.7,1546,43.4,114,0,9.800000000000011,7026.318577410739,0.0280724450012468,0.456,92270.43,425.3200000000005,67096.4,801000.3178248242
125,L,298.9,308.7,1727,29.4,116,0,9.800000000000011,5317.0199024945805,0.017023740580762163,0.464,92270.43,288.12000000000035,50773.799999999996,616774.3086893713
126,L,298.9,308.6,1560,32.2,118,0,9.700000000000045,5260.282739170751,0.020641025627794216,0.472,92240.54,312.3400000000015,50232.00000000001,620713.3632221486
127,L,299.0,308.6,1329,60.5,120,0,9.600000000000023,8419.939550518684,0.04552294955190146,0.48,92271.40000000001,580.8000000000013,80404.5,1010392.7460622421
128,L,298.9,308.6,1413,46.5,122,0,9.700000000000045,6880.559150259685,0.03290870485993722,0.488,92240.54,451.0500000000021,65704.5,839428.2163316816
129,L,299.0,308.6,1587,38.6,124,0,9.600000000000023,6414.943703071142,0.024322621282720464,0.496,92271.40000000001,370.5600000000009,61258.200000000004,795453.0191808216
130,L,298.9,308.5,1559,34.3,126,0,9.600000000000023,5599.75276934215,0.02200128285952451,0.504,92210.65,329.28000000000077,53473.7,705568.8489371109
131,L,298.8,308.4,1473,41.1,128,0,9.599999999999966,6339.765390870739,0.02790224030692312,0.512,92149.92,394.55999999999864,60540.3,811489.9700314546
132,L,298.8,308.4,1737,27.7,130,0,9.599999999999966,5038.580545606917,0.01594703510883878,0.52,92149.92,265.91999999999905,48114.9,655015.4709288992
133,M,298.7,308.4,1441,43.2,132,0,9.699999999999989,6518.930419904965,0.029979181103414864,0.528,92119.07999999999,419.0399999999995,62251.200000000004,860498.8154274554
134,M,298.7,308.4,1430,49.6,135,0,9.699999999999989,7427.562791127228,0.034685314661059216,0.54,92119.07999999999,481.11999999999944,70928.0,1002720.9768021757
135,L,298.8,308.4,1369,53.0,138,0,9.599999999999966,7598.151272217154,0.03871439003746209,0.552,92149.92,508.7999999999982,72557.0,1048544.8755659672
136,M,298.8,308.5,1711,28.5,140,0,9.699999999999989,5106.501778777529,0.016656925764665736,0.56,92179.8,276.4499999999997,48763.5,714910.2490288541
137,H,298.7,308.5,1420,45.7,143,0,9.800000000000011,6795.683788735201,0.03218309856888514,0.572,92148.95,447.8600000000005,64894.00000000001,971782.7817891338
138,L,298.7,308.6,1297,55.3,148,0,9.900000000000034,7510.930188177988,0.04263685424623218,0.592,92178.82,547.4700000000018,71724.09999999999,1111617.6678503423
139,H,298.8,308.6,1449,49.4,150,0,9.800000000000011,7495.902903318317,0.034092477547210155,0.6,92209.68000000001,484.1200000000006,71580.59999999999,1124385.4354977475
140,L,298.8,308.6,1268,55.8,155,0,9.800000000000011,7409.383441638454,0.04400630911355969,0.62,92209.68000000001,546.8400000000006,70754.4,1148454.4334539603
141,L,298.8,308.6,1511,36.1,157,0,9.800000000000011,5712.158954487593,0.02389146259173298,0.628,92209.68000000001,353.7800000000004,54547.1,896808.9558545521
142,L,298.7,308.5,1544,35.2,159,0,9.800000000000011,5691.393027047365,0.0227979274463744,0.636,92148.95,344.96000000000043,54348.8,904931.491300531
143,M,298.6,308.4,1778,28.2,161,0,9.799999999999955,5250.606633797693,0.015860517426400156,0.644,92088.24,276.3599999999987,50139.6,845347.6680414286
144,H,298.6,308.4,1407,50.5,164,0,9.799999999999955,7440.705120394745,0.03589196870228005,0.656,92088.24,494.8999999999977,71053.5,1220275.6397447381
145,M,298.6,308.4,1391,42.4,169,0,9.799999999999955,6176.203605349342,0.03048166784293194,0.676,92088.24,415.51999999999805,58978.4,1043778.4093040389
146,L,298.5,308.4,1513,33.6,172,0,9.899999999999977,5323.61724706712,0.022207534684595152,0.688,92057.4,332.63999999999925,50836.8,915662.1664955446
147,H,298.5,308.4,1612,36.1,174,0,9.899999999999977,6093.977653629385,0.022394540929035645,0.696,92057.4,357.3899999999992,58193.200000000004,1060352.111731513
148,L,298.4,308.4,1515,40.1,179,0,10.0,6361.88220315201,0.026468646847215414,0.716,92026.55999999998,401.0,60751.5,1138776.9143642099
149,M,298.3,308.3,1379,48.0,181,0,10.0,6931.610030880519,0.034807831736905125,0.724,91965.89000000001,480.0,66192.0,1254621.415589374
150,L,298.4,308.3,1473,39.9,184,0,9.900000000000034,6154.662751721227,0.02708757635635602,0.736,91996.72,395.01000000000136,58772.7,1132457.9463167058
151,L,298.4,308.3,1422,42.7,186,0,9.900000000000034,6358.520699012669,0.030028129374101174,0.744,91996.72,422.7300000000015,60719.4,1182684.8500163564
152,M,298.4,308.2,1463,37.6,188,0,9.800000000000011,5760.50806542634,0.02570061515673232,0.752,91966.87999999999,368.4800000000004,55008.8,1082975.516300152
153,M,298.4,308.2,1584,41.0,191,0,9.800000000000011,6800.919776491184,0.025883838367497573,0.764,91966.87999999999,401.80000000000047,64944.0,1298975.6773098162
154,L,298.4,308.2,1850,27.0,194,0,9.800000000000011,5230.751768227005,0.014594594586705624,0.776,91966.87999999999,264.6000000000003,49950.0,1014765.843036039
155,L,298.4,308.2,1528,36.2,196,0,9.800000000000011,5792.426646786813,0.023691099460935144,0.784,91966.87999999999,354.76000000000045,55313.600000000006,1135315.6227702154
156,H,298.4,308.2,1987,19.8,198,0,9.800000000000011,4119.9474377707265,0.009964771006560257,0.792,91966.87999999999,194.04000000000022,39342.6,815749.5926786038
157,M,298.4,308.1,1495,46.0,203,0,9.700000000000045,7201.577559579002,0.030769230748649342,0.812,91937.04,446.2000000000021,68770.0,1461920.2445945374
158,H,298.4,308.2,1478,43.5,206,0,9.800000000000011,6732.747215908285,0.02943166439145354,0.824,91966.87999999999,426.3000000000005,64293.0,1386945.9264771068
159,M,298.4,308.2,1499,40.0,211,0,9.800000000000011,6278.996516974799,0.026684456286401294,0.844,91966.87999999999,392.00000000000045,59960.0,1324868.2650816827
160,L,298.4,308.2,1471,47.0,214,0,9.800000000000011,7240.009709707917,0.03195105368324197,0.856,91966.87999999999,460.60000000000053,69137.0,1549362.0778774943
161,L,298.4,308.2,1282,60.7,216,1,9.800000000000011,8149.0190720486125,0.047347893878823794,0.864,91966.87999999999,594.8600000000007,77817.40000000001,1760188.1195625004
162,L,298.3,308.1,1412,52.3,218,1,9.800000000000011,7733.302588174585,0.037039660030425164,0.872,91906.23000000001,512.5400000000005,73847.59999999999,1685859.9642220596
163,L,298.3,308.1,1586,35.5,0,0,9.800000000000011,5896.036372502203,0.02238335433645438,0.0,91906.23000000001,347.90000000000043,56303.0,0.0
164,M,298.4,308.2,1468,43.8,2,0,9.800000000000011,6733.312702585931,0.02983651224125578,0.008,91966.87999999999,429.24000000000046,64298.399999999994,13466.625405171862
165,M,298.5,308.3,1440,43.6,5,0,9.800000000000011,6574.725105432719,0.030277777756751542,0.02,92027.55,427.2800000000005,62784.0,32873.6255271636
166,L,298.5,308.4,1733,26.0,8,0,9.899999999999977,4718.4627261816295,0.015002885161567867,0.032,92057.4,257.3999999999994,45058.0,37747.701809453036
167,H,298.4,308.2,1612,32.6,10,0,9.800000000000011,5503.148795244265,0.020223325049489253,0.04,91966.87999999999,319.48000000000036,52551.200000000004,55031.48795244265
168,H,298.4,308.3,1458,42.9,15,0,9.900000000000034,6550.032187175502,0.02942386829257622,0.06,91996.72,424.71000000000146,62548.2,98250.48280763254
169,L,298.4,308.3,1433,62.3,20,1,9.900000000000034,9348.950386087232,0.0434752267665909,0.08,91996.72,616.7700000000021,89275.9,186979.00772174465
170,L,298.4,308.3,1318,59.1,22,0,9.900000000000034,8157.019661339754,0.0448406676442787,0.088,91996.72,585.0900000000021,77893.8,179454.4325494746
171,M,298.4,308.2,1610,35.0,24,0,9.800000000000011,5900.958200992828,0.02173913042128004,0.096,91966.87999999999,343.0000000000004,56350.0,141622.99682382788
172,L,298.2,308.1,1462,50.8,27,0,9.900000000000034,7777.494324835082,0.03474692200085709,0.108,91875.42,502.9200000000017,74269.59999999999,209992.3467705472
173,M,298.1,308.0,1924,20.8,29,0,9.899999999999977,4190.800824084688,0.010810810805191886,0.116,91814.8,205.91999999999953,40019.200000000004,121533.22389845597
